+-----------------------------------------------------------------------------+
|   x    |    сумма    |   шаг   |  sqrt(1 + x)  |  эпсилон  |   погрешность  |
+-----------------------------------------------------------------------------+
|  -0,9  |  0,8356518  |   046   |   0,3162278   |  0,00001  |  0,5194240289  |
|  -0,8  |  0,8291389  |   026   |   0,4472136   |  0,00001  |  0,3819252620  |
|  -0,7  |  0,8399227  |   019   |   0,5477226   |  0,00001  |  0,2922001493  |
|  -0,6  |  0,8575917  |   015   |   0,6324555   |  0,00001  |  0,2251361532  |
|  -0,5  |  0,8786704  |   012   |   0,7071068   |  0,00001  |  0,1715636216  |
|  -0,4  |  0,9016074  |   010   |   0,7745967   |  0,00001  |  0,1270106908  |
|  -0,3  |  0,9255867  |   008   |   0,8366600   |  0,00001  |  0,0889266526  |
|  -0,2  |  0,9501531  |   007   |   0,8944272   |  0,00001  |  0,0557258715  |
|  -0,1  |  0,9750117  |   005   |   0,9486833   |  0,00001  |  0,0263284207  |
|  -0,0  |  1,0000000  |   002   |   1,0000000   |  0,00001  |  0,0000000000  |
|   0,1  |  1,0249805  |   005   |   1,0488088   |  0,00001  |  0,0238283794  |
|   0,2  |  1,0498943  |   007   |   1,0954451   |  0,00001  |  0,0455508025  |
|   0,3  |  1,0746835  |   008   |   1,1401754   |  0,00001  |  0,0654918933  |
|   0,4  |  1,0993001  |   010   |   1,1832160   |  0,00001  |  0,0839158766  |
|   0,5  |  1,1237303  |   012   |   1,2247449   |  0,00001  |  0,1010145779  |
|   0,6  |  1,1479515  |   016   |   1,2649111   |  0,00001  |  0,1169595499  |
|   0,7  |  1,1719621  |   020   |   1,3038405   |  0,00001  |  0,1318783403  |
|   0,8  |  1,1957371  |   029   |   1,3416408   |  0,00001  |  0,1459036673  |
|   0,9  |  1,2192998  |   053   |   1,3784049   |  0,00001  |  0,1591050321  |
+-----------------------------------------------------------------------------+
